decimalLongitude,decimalLatitude,presence,cropped_bioclim_stack,wc2.1_5m_bio_1,wc2.1_5m_bio_10,wc2.1_5m_bio_11,wc2.1_5m_bio_12,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_16,wc2.1_5m_bio_17,wc2.1_5m_bio_18,wc2.1_5m_bio_19,wc2.1_5m_bio_2,wc2.1_5m_bio_3,wc2.1_5m_bio_4,wc2.1_5m_bio_5,wc2.1_5m_bio_6,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9
-89.2,40.07,1,11.103500366210938,11.103500366210938,23.136667251586914,-2.25849986076355,974.0,112.0,43.0,26.5670108795166,315.0,157.0,298.0,157.0,11.789833068847656,29.994997024536133,1025.3475341796875,30.38599967956543,-8.920000076293945,39.305999755859375,21.252832412719727,-2.25849986076355
-90.16,38.62,1,13.181083679199219,13.181083679199219,24.985666275024414,0.41099992394447327,973.0,102.0,51.0,18.833763122558594,290.0,184.0,269.0,184.0,11.559666633605957,30.04852294921875,989.5261840820312,32.06599807739258,-6.404000282287598,38.46999740600586,18.62416648864746,0.41099992394447327
-89.63,40.69,1,10.682833671569824,10.682833671569824,23.145000457763672,-3.069833278656006,936.0,104.0,38.0,28.97600746154785,306.0,139.0,287.0,139.0,11.276166915893555,27.981950759887695,1055.0865478515625,30.391000747680664,-9.906999588012695,40.29800033569336,21.004667282104492,-3.069833278656006
-89.82,39.13,1,11.880708694458008,11.880708694458008,23.670333862304688,-1.090999960899353,982.0,108.0,48.0,22.12813949584961,305.0,174.0,274.0,174.0,11.443583488464355,29.56692886352539,997.0034790039062,30.85999870300293,-7.843999862670898,38.70399856567383,17.372499465942383,-1.090999960899353
-88.15,38.87,1,12.240666389465332,12.240666389465332,23.880666732788086,-0.47166678309440613,1073.0,110.0,59.0,19.182186126708984,316.0,208.0,294.0,208.0,11.47249984741211,30.160629272460938,981.0160522460938,31.006999969482422,-7.031000137329102,38.038002014160156,12.067333221435547,-0.47166678309440613
-87.62,41.88,1,9.907958030700684,9.907958030700684,22.029998779296875,-2.9774999618530273,942.0,101.0,40.0,26.22381591796875,295.0,151.0,295.0,151.0,9.972916603088379,26.2971134185791,1011.4535522460938,28.792999267578125,-9.130999565124512,37.92399978637695,22.029998779296875,-2.9774999618530273
-89.2,37.11,1,14.031708717346191,14.031708717346191,25.050167083740234,2.1693334579467773,1208.0,129.0,78.0,16.136890411376953,368.0,263.0,286.0,278.0,11.411250114440918,31.32033348083496,922.4168701171875,31.972999572753906,-4.460999965667725,36.433998107910156,13.798500061035156,20.51850128173828
-88.2,40.11,1,11.019583702087402,11.019583702087402,23.1478328704834,-2.3244998455047607,1006.0,115.0,46.0,26.54857635498047,327.0,164.0,317.0,164.0,11.100167274475098,28.537334442138672,1027.822265625,30.117000579833984,-8.779999732971191,38.89699935913086,21.173999786376953,-2.3244998455047607
-89.93,38.4,1,12.853625297546387,12.853625297546387,24.429000854492188,0.28649988770484924,991.0,104.0,53.0,18.054298400878906,294.0,190.0,271.0,190.0,11.790583610534668,30.99196434020996,971.985595703125,31.60700035095215,-6.437000274658203,38.04399871826172,22.424833297729492,0.28649988770484924
-89.85,38.54,1,12.782083511352539,12.782083511352539,24.44099998474121,0.08766666799783707,963.0,104.0,52.0,19.183101654052734,294.0,184.0,268.0,184.0,11.520000457763672,30.279932022094727,980.44287109375,31.503999710083008,-6.540999889373779,38.04499816894531,18.19933319091797,0.08766666799783707
